ManualShift,X,Y,
(18,21),9,0
(19,21),9,0
(20,21),10,0
(21,21),10,0
(22,21),11,0
(23,21),12,0
(24,21),12,0
(25,21),12,0
(26,21),12,0
(27,21),13,0
(28,21),14,0
(29,21),13,0
(30,21),14,0
(31,21),14,0
(32,21),15,0
(33,21),15,0
(34,21),15,0
(35,21),16,0
(36,21),15,0
(37,21),16,0
(38,21),16,0
(39,21),16,0
(0,22),0,1
(1,22),1,1
(2,22),2,1
(3,22),3,1
(4,22),2,1
(5,22),3,1
(6,22),3,1
(7,22),4,1
(8,22),5,1
(9,22),5,1
(10,22),6,1
(11,22),6,1
(12,22),7,1
(13,22),7,1
(14,22),7,1
(15,22),8,1
(16,22),8,1
(17,22),8,1
(18,22),9,1
(19,22),9,1
(20,22),10,1
(21,22),10,1
(22,22),11,1
(23,22),12,1
(24,22),12,1
(25,22),12,1
(26,22),12,1
(27,22),13,1
(28,22),14,1
(29,22),13,1
(30,22),14,1
(31,22),14,1
(32,22),15,1
(33,22),15,1
(34,22),15,1
(35,22),16,1
(36,22),15,1
(37,22),16,1
(38,22),16,1
(39,22),16,1
(0,23),0,2
(1,23),1,2
(2,23),2,2
(3,23),3,2
(4,23),2,2
(5,23),3,2
(6,23),3,2
(7,23),4,2
(8,23),5,2
(9,23),5,2
(10,23),6,2
(11,23),6,2
(12,23),7,2
(13,23),7,2
(14,23),7,2
(15,23),8,2
(16,23),8,2
(17,23),8,2
(18,23),9,2
(19,23),9,2
(20,23),10,2
(21,23),10,2
(22,23),11,2
(23,23),12,2
(24,23),12,2
(25,23),12,2
(26,23),12,2
(27,23),13,2
(28,23),14,2
(29,23),13,2
(30,23),14,2
(31,23),14,2
(32,23),15,2
(33,23),15,2
(34,23),15,2
(35,23),16,2
(36,23),15,2
(37,23),16,2
(38,23),16,2
(39,23),16,2
(0,24),0,2
(1,24),1,2
(2,24),2,2
(3,24),3,2
(4,24),2,2
(5,24),3,2
(6,24),3,2
(7,24),4,2
(8,24),5,2
(9,24),5,2
(10,24),6,2
(11,24),6,2
(12,24),7,2
(13,24),7,2
(14,24),7,2
(15,24),8,2
(16,24),8,2
(17,24),8,2
(18,24),9,2
(19,24),9,2
(20,24),10,2
(21,24),10,2
(22,24),11,2
(23,24),12,2
(24,24),12,2
(25,24),12,2
(26,24),12,2
(27,24),13,2
(28,24),14,2
(29,24),13,2
(30,24),14,2
(31,24),14,2
(32,24),15,2
(33,24),15,2
(34,24),15,2
(35,24),16,2
(36,24),15,2
(37,24),16,2
(38,24),16,2
(39,24),16,2
(0,25),0,3
(1,25),1,3
(2,25),2,3
(3,25),3,3
(4,25),2,3
(5,25),3,3
(6,25),3,3
(7,25),4,3
(8,25),5,3
(9,25),5,3
(10,25),6,3
(11,25),6,3
(12,25),7,3
(13,25),7,3
(14,25),7,3
(15,25),8,3
(16,25),8,3
(17,25),8,3
(18,25),9,3
(19,25),9,3
(20,25),10,3
(21,25),10,3
(22,25),11,3
(23,25),12,3
(24,25),12,3
(25,25),12,3
(26,25),12,3
(27,25),13,3
(28,25),14,3
(29,25),13,3
(30,25),14,3
(31,25),14,3
(32,25),15,3
(33,25),15,3
(34,25),15,3
(35,25),16,3
(36,25),15,3
(37,25),16,3
(38,25),16,3
(39,25),16,3
(0,26),0,3
(1,26),1,3
(2,26),2,3
(3,26),3,3
(4,26),2,3
(5,26),3,3
(6,26),3,3
(7,26),4,3
(8,26),5,3
(9,26),5,3
(10,26),6,3
(11,26),6,3
(12,26),7,3
(13,26),7,3
(14,26),7,3
(15,26),8,3
(16,26),8,3
(17,26),8,3
(18,26),9,3
(19,26),9,3
(20,26),10,3
(21,26),10,3
(22,26),11,3
(23,26),12,3
(24,26),12,3
(25,26),12,3
(26,26),12,3
(27,26),13,3
(28,26),14,3
(29,26),13,3
(30,26),14,3
(31,26),14,3
(32,26),15,3
(33,26),15,3
(34,26),15,3
(35,26),16,3
(36,26),15,3
(37,26),16,3
(38,26),16,3
(39,26),16,3
(0,27),0,3
(1,27),1,3
(2,27),2,3
(3,27),3,3
(4,27),2,3
(5,27),3,3
(6,27),3,3
(7,27),4,3
(8,27),5,3
(9,27),5,3
(10,27),6,3
(11,27),6,3
(12,27),7,3
(13,27),7,3
(14,27),7,3
(15,27),8,3
(16,27),8,3
(17,27),8,3
(18,27),9,3
(19,27),9,3
(20,27),10,3
(21,27),10,3
(22,27),11,3
(23,27),12,3
(24,27),12,3
(25,27),12,3
(26,27),12,3
(27,27),13,3
(28,27),14,3
(29,27),13,3
(30,27),14,3
(31,27),14,3
(32,27),15,3
(33,27),15,3
(34,27),15,3
(35,27),16,3
(36,27),15,3
(37,27),16,3
(38,27),16,3
(39,27),16,3
(0,28),0,4
(1,28),1,4
(2,28),2,4
(3,28),3,4
(4,28),2,4
(5,28),3,4
(6,28),3,4
(7,28),4,4
(8,28),5,4
(9,28),5,4
(10,28),6,4
(11,28),6,4
(12,28),7,4
(13,28),7,4
(14,28),7,4
(15,28),8,4
(16,28),8,4
(17,28),8,4
(18,28),9,4
(19,28),9,4
(20,28),10,4
(21,28),10,4
(22,28),11,4
(23,28),12,4
(24,28),12,4
(25,28),12,4
(26,28),12,4
(27,28),13,4
(28,28),14,4
(29,28),13,4
(30,28),14,4
(31,28),14,4
(32,28),15,4
(33,28),15,4
(34,28),15,4
(35,28),16,4
(36,28),15,4
(37,28),16,4
(38,28),16,4
(39,28),16,4
(0,29),0,4
(1,29),1,4
(2,29),2,4
(3,29),3,4
(4,29),2,4
(5,29),3,4
(6,29),3,4
(7,29),4,4
(8,29),5,4
(9,29),5,4
(10,29),6,4
(11,29),6,4
(12,29),7,4
(13,29),7,4
(14,29),7,4
(15,29),8,4
(16,29),8,4
(17,29),8,4
(18,29),9,4
(19,29),9,4
(20,29),10,4
(21,29),10,4
(22,29),11,4
(23,29),12,4
(24,29),12,4
(25,29),12,4
(26,29),12,4
(27,29),13,4
(28,29),14,4
(29,29),13,4
(30,29),14,4
(31,29),14,4
(32,29),15,4
(33,29),15,4
(34,29),15,4
(35,29),16,4
(36,29),15,4
(37,29),16,4
(38,29),16,4
(39,29),16,4
(0,30),0,5
(1,30),1,5
(2,30),2,5
(3,30),3,5
(4,30),2,5
(5,30),3,5
(6,30),3,5
(7,30),4,5
(8,30),5,5
(9,30),5,5
(10,30),6,5
(11,30),6,5
(12,30),7,5
(13,30),7,5
(14,30),7,5
(15,30),8,5
(16,30),8,5
(17,30),8,5
(18,30),9,5
(19,30),9,5
(20,30),10,5
(21,30),10,5
(22,30),11,5
(23,30),12,5
(24,30),12,5
(25,30),12,5
(26,30),12,5
(27,30),13,5
(28,30),14,5
(29,30),13,5
(30,30),14,5
(31,30),14,5
(32,30),15,5
(33,30),15,5
(34,30),15,5
(35,30),16,5
(36,30),15,5
(37,30),16,5
(38,30),16,5
(39,30),16,5
(0,31),0,4
(1,31),1,4
(2,31),2,4
(3,31),3,4
(4,31),2,4
(5,31),3,4
(6,31),3,4
(7,31),4,4
(8,31),5,4
(9,31),5,4
(10,31),6,4
(11,31),6,4
(12,31),7,4
(13,31),7,4
(14,31),7,4
(15,31),8,4
(16,31),8,4
